,Skill_2,Skill_1,Simmilarity/Correlation
0,azure,.net,20.933192346640453
1,sql-server,.net,32.322524219339904
2,asp.net,.net,48.40702996199018
3,entity-framework,.net,24.370902505324306
4,wpf,.net,32.35092522005943
5,linq,.net,20.501743858149066
6,wcf,.net,28.074400427611113
7,c#,.net,62.167895042923824
8,tdd,agile,37.14658992420456
9,codeigniter,ajax,23.191900405651825
10,jquery,ajax,50.56672861589973
11,mysql,ajax,24.800089422917555
12,css,ajax,26.61371372468893
13,php,ajax,28.01067925660409
14,javascript,ajax,24.39914442262329
15,json,ajax,32.94744601093195
16,cloud,amazon-web-services,21.31860679884144
17,azure,amazon-web-services,21.309949593946328
18,devops,amazon-web-services,24.98353120101788
19,docker,amazon-web-services,32.198071014100535
20,ios,android,39.778036225705506
21,android-studio,android,33.661083176336234
22,java,android,50.984730766476574
23,android,android-studio,33.661083176336234
24,typescript,angular,31.03648178393663
25,typescript,angular2,38.87998222920348
26,angularjs,angular2,26.03269716448927
27,ionic-framework,angularjs,29.840445766924983
28,reactjs,angularjs,31.62020230471286
29,mongodb,angularjs,31.51071117036077
30,css,angularjs,22.210413043130053
31,sass,angularjs,20.42587841667116
32,twitter-bootstrap,angularjs,24.153685861107462
33,javascript,angularjs,39.37662666227728
34,express,angularjs,24.433828805280708
35,node.js,angularjs,47.56352702530362
36,jquery,angularjs,30.34794743352026
37,asp.net-web-api,angularjs,20.11309966430225
38,angular2,angularjs,26.03269716448927
39,html5,angularjs,23.08266402075043
40,nginx,apache,48.58317346408342
41,mysql,apache,29.097834547698522
42,linux,apache,28.168213013158717
43,scala,apache-spark,50.791845634152864
44,hadoop,apache-spark,59.82678558413365
45,rest,api,22.175589109335288
46,.net,asp.net,48.40702996199018
47,sql,asp.net,21.6722646057341
48,sql-server,asp.net,59.67328948689907
49,c#,asp.net,80.4485421720991
50,asp.net-web-api,asp.net,47.38627215537402
51,jquery,asp.net,28.723178220098205
52,entity-framework,asp.net,48.113669089462604
53,mvc,asp.net,22.82841216302881
54,azure,asp.net,23.76407299505805
55,wpf,asp.net,28.15902333873328
56,linq,asp.net,31.58127774617085
57,wcf,asp.net,40.95142172605998
58,vb.net,asp.net,23.711346281144568
59,asp.net,asp.net-web-api,47.38627215537402
60,azure,asp.net-web-api,21.585694763313093
61,c#,asp.net-web-api,26.748821548289047
62,angularjs,asp.net-web-api,20.11309966430225
63,sql-server,asp.net-web-api,25.67647418219353
64,wcf,asp.net-web-api,28.356535431019818
65,entity-framework,asp.net-web-api,31.183495099591088
66,.net,azure,20.933192346640453
67,c#,azure,22.14448701181891
68,asp.net-web-api,azure,21.585694763313093
69,asp.net,azure,23.76407299505805
70,amazon-web-services,azure,21.309949593946328
71,linux,bash,38.88811575032741
72,shell,bash,24.71706557378606
73,git,bash,27.096957129984922
74,jquery,bootstrap,22.40615464900445
75,css,bootstrap,24.71031260188158
76,c++,c,80.89104614147385
77,python,c,22.320432253935472
78,embedded,c,28.403647769064776
79,java,c,26.04945930410044
80,linq,c#,25.22293164314289
81,sql,c#,25.613903617043626
82,asp.net,c#,80.4485421720991
83,asp.net-web-api,c#,26.748821548289047
84,entity-framework,c#,30.728425581793214
85,vb.net,c#,25.185135956324604
86,.net,c#,62.167895042923824
87,sql-server,c#,45.914651235525035
88,xamarin,c#,24.67314754872217
89,azure,c#,22.14448701181891
90,wpf,c#,38.95749217569616
91,unity3d,c#,25.000233473145794
92,wcf,c#,29.299880033528954
93,visual-studio,c#,27.715543428637943
94,qt,c++,30.144660032562147
95,c,c++,80.89104614147385
96,java,c++,23.201095658265963
97,python,c++,24.30104566620671
98,amazon-web-services,cloud,21.31860679884144
99,mysql,codeigniter,22.596885929311604
100,jquery,codeigniter,26.729771309673534
101,laravel,codeigniter,31.658709317460822
102,php,codeigniter,37.40149646160739
103,ajax,codeigniter,23.191900405651825
104,wordpress,codeigniter,25.13313076574851
105,ajax,css,26.61371372468893
106,mysql,css,27.010622489444646
107,photoshop,css,20.85572142496804
108,jquery,css,66.67420569975171
109,html,css,126.57112712972766
110,javascript,css,75.53660009612221
111,html5,css,87.13826986156899
112,bootstrap,css,24.71031260188158
113,twitter-bootstrap,css,31.56405510257182
114,less,css,25.340535324481124
115,wordpress,css,31.264824668848835
116,angularjs,css,22.210413043130053
117,sass,css,40.963361265498364
118,php,css,51.44760490910893
119,amazon-web-services,devops,24.98353120101788
120,docker,devops,24.55420281766825
121,jenkins,devops,23.602587607535273
122,python,django,49.90594295368325
123,flask,django,42.33664313992495
124,postgresql,django,22.489252643182468
125,amazon-web-services,docker,32.198071014100535
126,go,docker,28.375405907346195
127,devops,docker,24.55420281766825
128,jenkins,docker,26.52860759980952
129,wordpress,drupal,24.9192961821526
130,maven,eclipse,25.314659453818308
131,redis,elasticsearch,29.349098676116647
132,mongodb,elasticsearch,20.22800685545149
133,c,embedded,28.403647769064776
134,.net,entity-framework,24.370902505324306
135,wpf,entity-framework,24.228201856682702
136,asp.net,entity-framework,48.113669089462604
137,sql-server,entity-framework,32.62377908692168
138,linq,entity-framework,54.005929560097506
139,wcf,entity-framework,32.81595165036012
140,asp.net-web-api,entity-framework,31.183495099591088
141,c#,entity-framework,30.728425581793214
142,vba,excel,45.260749882952354
143,excel-vba,excel,54.50523562629743
144,vba,excel-vba,49.61621727834464
145,excel,excel-vba,54.50523562629743
146,reactjs,express,31.924272588963447
147,redux,express,21.543458417676824
148,angularjs,express,24.433828805280708
149,node.js,express,58.82907662295929
150,mongodb,express,48.768060811781496
151,python,flask,25.25137186141931
152,django,flask,42.33664313992495
153,jenkins,git,23.075440145975147
154,github,git,56.20246391729147
155,bash,git,27.096957129984922
156,linux,git,27.70879277472438
157,git,github,56.20246391729147
158,docker,go,28.375405907346195
159,scala,hadoop,21.62593446217338
160,apache-spark,hadoop,59.82678558413365
161,scala,haskell,22.757440009799733
162,jsp,hibernate,39.4069459855106
163,java,hibernate,32.523565104522916
164,spring-boot,hibernate,30.23290370637627
165,maven,hibernate,34.10005202479125
166,rest,hibernate,21.646667877763228
167,web-services,hibernate,21.210956925188103
168,spring-mvc,hibernate,64.10989821309226
169,java-ee,hibernate,39.90817378554485
170,spring,hibernate,103.26828446355265
171,mysql,html,21.355688890230827
172,javascript,html,59.75548884052987
173,php,html,45.66104087971068
174,css,html,126.57112712972766
175,sass,html,23.639529235488702
176,jquery,html,44.233620230219444
177,php,html5,32.350506919162136
178,wordpress,html5,22.2164407540198
179,javascript,html5,47.00636375705097
180,angularjs,html5,23.08266402075043
181,less,html5,20.923187668282143
182,twitter-bootstrap-3,html5,22.161036413455076
183,jquery,html5,47.492773388914564
184,css,html5,87.13826986156899
185,twitter-bootstrap,html5,26.23098337439359
186,sass,html5,32.070376656092115
187,angularjs,ionic-framework,29.840445766924983
188,android,ios,39.778036225705506
189,swift,ios,87.21964246099866
190,osx,ios,30.34158107188327
191,objective-c,ios,78.75928046651394
192,iphone,ios,57.15857405623157
193,xcode,ios,46.36509077387072
194,swift,iphone,36.02337467321895
195,xcode,iphone,34.712865071200625
196,ios,iphone,57.15857405623157
197,objective-c,iphone,47.977887603750105
198,spring,java,43.95425922531434
199,c++,java,23.201095658265963
200,jsp,java,21.61980303526029
201,java-ee,java,25.11618282046237
202,android,java,50.984730766476574
203,hibernate,java,32.523565104522916
204,c,java,26.04945930410044
205,spring-mvc,java,25.04121481076511
206,spring,java-ee,39.81210514851685
207,hibernate,java-ee,39.90817378554485
208,spring-mvc,java-ee,27.964591852574834
209,java,java-ee,25.11618282046237
210,jquery,javascript,57.841831526421906
211,twitter-bootstrap,javascript,20.23882304372428
212,node.js,javascript,42.731729323056385
213,mysql,javascript,22.91619071652686
214,angularjs,javascript,39.37662666227728
215,php,javascript,47.3281575555596
216,ajax,javascript,24.39914442262329
217,reactjs,javascript,33.56735910485145
218,css,javascript,75.53660009612221
219,html,javascript,59.75548884052987
220,sass,javascript,23.782469883653217
221,html5,javascript,47.00636375705097
222,git,jenkins,23.075440145975147
223,devops,jenkins,23.602587607535273
224,maven,jenkins,33.47708077913068
225,docker,jenkins,26.52860759980952
226,json,jquery,20.629577340855857
227,html,jquery,44.233620230219444
228,wordpress,jquery,28.87017059988903
229,sass,jquery,24.681728132187683
230,asp.net,jquery,28.723178220098205
231,php,jquery,46.61909089823226
232,css,jquery,66.67420569975171
233,html5,jquery,47.492773388914564
234,ajax,jquery,50.56672861589973
235,twitter-bootstrap,jquery,36.79192549817867
236,mysql,jquery,35.712977811081025
237,angularjs,jquery,30.34794743352026
238,twitter-bootstrap-3,jquery,21.153243249312748
239,javascript,jquery,57.841831526421906
240,codeigniter,jquery,26.729771309673534
241,bootstrap,jquery,22.40615464900445
242,rest,json,25.049498396111407
243,jquery,json,20.629577340855857
244,xml,json,42.72166845881278
245,ajax,json,32.94744601093195
246,hibernate,jsp,39.4069459855106
247,java,jsp,21.61980303526029
248,spring-mvc,jsp,24.06449025192885
249,spring,jsp,30.61333985121873
250,vue.js,laravel,28.79989665496036
251,php,laravel,45.88473321024233
252,mysql,laravel,20.23026605428928
253,codeigniter,laravel,31.658709317460822
254,sass,less,60.545941127987604
255,css,less,25.340535324481124
256,html5,less,20.923187668282143
257,wcf,linq,34.587092658719804
258,sql-server,linq,20.444792111689296
259,c#,linq,25.22293164314289
260,asp.net,linq,31.58127774617085
261,entity-framework,linq,54.005929560097506
262,.net,linq,20.501743858149066
263,wpf,linq,26.468391555977572
264,bash,linux,38.88811575032741
265,git,linux,27.70879277472438
266,unix,linux,25.35741287423995
267,osx,linux,23.41281493970028
268,ubuntu,linux,29.894342585346926
269,shell,linux,21.131792917374074
270,nginx,linux,21.080478447912995
271,windows,linux,29.945400773839893
272,python,linux,21.17036044400364
273,apache,linux,28.168213013158717
274,python,machine-learning,30.27077436735024
275,r,machine-learning,23.218697039650486
276,r,matlab,20.021932698311588
277,spring-mvc,maven,24.93380225985655
278,jenkins,maven,33.47708077913068
279,eclipse,maven,25.314659453818308
280,spring,maven,39.53022984092444
281,hibernate,maven,34.10005202479125
282,express,mongodb,48.768060811781496
283,node.js,mongodb,58.65780661217398
284,reactjs,mongodb,22.3209731892725
285,postgresql,mongodb,22.85555700027764
286,mysql,mongodb,26.36926476163211
287,redis,mongodb,33.55473112878769
288,elasticsearch,mongodb,20.22800685545149
289,angularjs,mongodb,31.51071117036077
290,asp.net,mvc,22.82841216302881
291,css,mysql,27.010622489444646
292,jquery,mysql,35.712977811081025
293,mongodb,mysql,26.36926476163211
294,laravel,mysql,20.23026605428928
295,php,mysql,65.07025912410015
296,postgresql,mysql,25.909942488756773
297,javascript,mysql,22.91619071652686
298,html,mysql,21.355688890230827
299,ajax,mysql,24.800089422917555
300,apache,mysql,29.097834547698522
301,codeigniter,mysql,22.596885929311604
302,linux,nginx,21.080478447912995
303,redis,nginx,27.473141406934246
304,apache,nginx,48.58317346408342
305,javascript,node.js,42.731729323056385
306,reactjs,node.js,55.19274755197871
307,express,node.js,58.82907662295929
308,angularjs,node.js,47.56352702530362
309,mongodb,node.js,58.65780661217398
310,react-native,node.js,22.163250311885427
311,redux,node.js,23.401923253693948
312,xcode,objective-c,43.41882511710604
313,iphone,objective-c,47.977887603750105
314,swift,objective-c,79.0885357791676
315,ios,objective-c,78.75928046651394
316,osx,objective-c,24.763189829170084
317,sql,oracle,21.82760476470736
318,plsql,oracle,45.06151433906438
319,windows,osx,20.860246776482484
320,objective-c,osx,24.763189829170084
321,ios,osx,30.34158107188327
322,linux,osx,23.41281493970028
323,regex,perl,21.364077886249934
324,css,photoshop,20.85572142496804
325,css,php,51.44760490910893
326,laravel,php,45.88473321024233
327,wordpress,php,41.03704549651282
328,jquery,php,46.61909089823226
329,javascript,php,47.3281575555596
330,ajax,php,28.01067925660409
331,html,php,45.66104087971068
332,mysql,php,65.07025912410015
333,html5,php,32.350506919162136
334,codeigniter,php,37.40149646160739
335,oracle,plsql,45.06151433906438
336,sql,plsql,22.717442387504864
337,mysql,postgresql,25.909942488756773
338,redis,postgresql,26.28018174137368
339,ruby-on-rails,postgresql,25.690110329072738
340,mongodb,postgresql,22.85555700027764
341,django,postgresql,22.489252643182468
342,ruby,postgresql,21.79517505760149
343,windows,powershell,20.24069060325144
344,flask,python,25.25137186141931
345,c++,python,24.30104566620671
346,machine-learning,python,30.27077436735024
347,django,python,49.90594295368325
348,c,python,22.320432253935472
349,r,python,28.53574785327096
350,linux,python,21.17036044400364
351,c++,qt,30.144660032562147
352,python,r,28.53574785327096
353,matlab,r,20.021932698311588
354,machine-learning,r,23.218697039650486
355,reactjs,react-native,61.531022972535666
356,redux,react-native,25.48058147649102
357,node.js,react-native,22.163250311885427
358,node.js,reactjs,55.19274755197871
359,sass,reactjs,24.9979588147436
360,react-native,reactjs,61.531022972535666
361,redux,reactjs,65.12985505970208
362,angularjs,reactjs,31.62020230471286
363,mongodb,reactjs,22.3209731892725
364,express,reactjs,31.924272588963447
365,javascript,reactjs,33.56735910485145
366,mongodb,redis,33.55473112878769
367,nginx,redis,27.473141406934246
368,elasticsearch,redis,29.349098676116647
369,postgresql,redis,26.28018174137368
370,reactjs,redux,65.12985505970208
371,node.js,redux,23.401923253693948
372,react-native,redux,25.48058147649102
373,express,redux,21.543458417676824
374,perl,regex,21.364077886249934
375,spring,rest,26.117598626312642
376,web-services,rest,33.690669075658285
377,api,rest,22.175589109335288
378,hibernate,rest,21.646667877763228
379,json,rest,25.049498396111407
380,postgresql,ruby,21.79517505760149
381,ruby-on-rails,ruby,95.3613107122033
382,postgresql,ruby-on-rails,25.690110329072738
383,ruby,ruby-on-rails,95.3613107122033
384,jquery,sass,24.681728132187683
385,javascript,sass,23.782469883653217
386,reactjs,sass,24.9979588147436
387,html,sass,23.639529235488702
388,html5,sass,32.070376656092115
389,less,sass,60.545941127987604
390,angularjs,sass,20.42587841667116
391,css,sass,40.963361265498364
392,twitter-bootstrap,sass,20.185488010909218
393,hadoop,scala,21.62593446217338
394,haskell,scala,22.757440009799733
395,apache-spark,scala,50.791845634152864
396,testing,selenium,33.685943095200074
397,bash,shell,24.71706557378606
398,linux,shell,21.131792917374074
399,web-services,spring,20.16560629687762
400,spring-mvc,spring,63.33021731315285
401,rest,spring,26.117598626312642
402,spring-boot,spring,57.04039265671136
403,maven,spring,39.53022984092444
404,java-ee,spring,39.81210514851685
405,hibernate,spring,103.26828446355265
406,jsp,spring,30.61333985121873
407,java,spring,43.95425922531434
408,spring,spring-boot,57.04039265671136
409,hibernate,spring-boot,30.23290370637627
410,spring-mvc,spring-boot,60.616826209556855
411,maven,spring-mvc,24.93380225985655
412,java-ee,spring-mvc,27.964591852574834
413,spring,spring-mvc,63.33021731315285
414,jsp,spring-mvc,24.06449025192885
415,spring-boot,spring-mvc,60.616826209556855
416,hibernate,spring-mvc,64.10989821309226
417,java,spring-mvc,25.04121481076511
418,plsql,sql,22.717442387504864
419,sql-server,sql,24.35477291784809
420,c#,sql,25.613903617043626
421,oracle,sql,21.82760476470736
422,asp.net,sql,21.6722646057341
423,asp.net-web-api,sql-server,25.67647418219353
424,wcf,sql-server,26.29146633095843
425,vb.net,sql-server,21.788893442838372
426,.net,sql-server,32.322524219339904
427,entity-framework,sql-server,32.62377908692168
428,asp.net,sql-server,59.67328948689907
429,linq,sql-server,20.444792111689296
430,sql,sql-server,24.35477291784809
431,c#,sql-server,45.914651235525035
432,xcode,swift,48.62033486702057
433,iphone,swift,36.02337467321895
434,objective-c,swift,79.0885357791676
435,ios,swift,87.21964246099866
436,agile,tdd,37.14658992420456
437,selenium,testing,33.685943095200074
438,angularjs,twitter-bootstrap,24.153685861107462
439,html5,twitter-bootstrap,26.23098337439359
440,sass,twitter-bootstrap,20.185488010909218
441,jquery,twitter-bootstrap,36.79192549817867
442,javascript,twitter-bootstrap,20.23882304372428
443,css,twitter-bootstrap,31.56405510257182
444,jquery,twitter-bootstrap-3,21.153243249312748
445,html5,twitter-bootstrap-3,22.161036413455076
446,angular2,typescript,38.87998222920348
447,angular,typescript,31.03648178393663
448,linux,ubuntu,29.894342585346926
449,c#,unity3d,25.000233473145794
450,linux,unix,25.35741287423995
451,asp.net,vb.net,23.711346281144568
452,sql-server,vb.net,21.788893442838372
453,c#,vb.net,25.185135956324604
454,excel-vba,vba,49.61621727834464
455,excel,vba,45.260749882952354
456,c#,visual-studio,27.715543428637943
457,laravel,vue.js,28.79989665496036
458,.net,wcf,28.074400427611113
459,entity-framework,wcf,32.81595165036012
460,c#,wcf,29.299880033528954
461,sql-server,wcf,26.29146633095843
462,wpf,wcf,53.17990345536857
463,linq,wcf,34.587092658719804
464,asp.net,wcf,40.95142172605998
465,asp.net-web-api,wcf,28.356535431019818
466,rest,web-services,33.690669075658285
467,hibernate,web-services,21.210956925188103
468,spring,web-services,20.16560629687762
469,powershell,windows,20.24069060325144
470,linux,windows,29.945400773839893
471,osx,windows,20.860246776482484
472,php,wordpress,41.03704549651282
473,html5,wordpress,22.2164407540198
474,css,wordpress,31.264824668848835
475,codeigniter,wordpress,25.13313076574851
476,drupal,wordpress,24.9192961821526
477,jquery,wordpress,28.87017059988903
478,linq,wpf,26.468391555977572
479,wcf,wpf,53.17990345536857
480,entity-framework,wpf,24.228201856682702
481,c#,wpf,38.95749217569616
482,asp.net,wpf,28.15902333873328
483,.net,wpf,32.35092522005943
484,c#,xamarin,24.67314754872217
485,objective-c,xcode,43.41882511710604
486,swift,xcode,48.62033486702057
487,iphone,xcode,34.712865071200625
488,ios,xcode,46.36509077387072
489,json,xml,42.72166845881278
